Support Library class,Android X class
android.arch.lifecycle.model.AdapterClassKt,androidx.lifecycle.model.AdapterClassKt
android.arch.lifecycle.model.EventMethod,androidx.lifecycle.model.EventMethod
android.arch.lifecycle.model.EventMethodCall,androidx.lifecycle.model.EventMethodCall
android.arch.lifecycle.model.InputModel,androidx.lifecycle.model.InputModel
android.arch.lifecycle.model.LifecycleObserverInfo,androidx.lifecycle.model.LifecycleObserverInfo
android.arch.lifecycle.MutableLiveData,androidx.lifecycle.MutableLiveData
android.arch.lifecycle.Observer,androidx.lifecycle.Observer
android.arch.lifecycle.ObserversCollector,androidx.lifecycle.ObserversCollector
android.arch.lifecycle.OnLifecycleEvent,androidx.lifecycle.OnLifecycleEvent
android.arch.lifecycle.ProcessLifecycleOwner,androidx.lifecycle.ProcessLifecycleOwner
android.arch.lifecycle.ProcessLifecycleOwnerInitializer,androidx.lifecycle.ProcessLifecycleOwnerInitializer
android.arch.lifecycle.ReflectiveGenericLifecycleObserver,androidx.lifecycle.ReflectiveGenericLifecycleObserver
android.arch.lifecycle.ReportFragment,androidx.lifecycle.ReportFragment
android.arch.lifecycle.ServiceLifecycleDispatcher,androidx.lifecycle.ServiceLifecycleDispatcher
android.arch.lifecycle.SingleGeneratedAdapterObserver,androidx.lifecycle.SingleGeneratedAdapterObserver
android.arch.lifecycle.TransformationKt,androidx.lifecycle.TransformationKt
android.arch.lifecycle.Transformations,androidx.lifecycle.Transformations
android.arch.lifecycle.Validator,androidx.lifecycle.Validator
android.arch.lifecycle.ViewModel,androidx.lifecycle.ViewModel
android.arch.lifecycle.ViewModelProvider,androidx.lifecycle.ViewModelProvider
android.arch.lifecycle.ViewModelProviders,androidx.lifecycle.ViewModelProviders
android.arch.lifecycle.ViewModelStore,androidx.lifecycle.ViewModelStore
android.arch.lifecycle.ViewModelStoreOwner,androidx.lifecycle.ViewModelStoreOwner
android.arch.lifecycle.ViewModelStores,androidx.lifecycle.ViewModelStores
android.arch.lifecycle.WriterKt,androidx.lifecycle.WriterKt
android.support.animation.AnimationHandler,androidx.dynamicanimation.animation.AnimationHandler
android.support.animation.DynamicAnimation,androidx.dynamicanimation.animation.DynamicAnimation
android.support.animation.FlingAnimation,androidx.dynamicanimation.animation.FlingAnimation
android.support.animation.FloatPropertyCompat,androidx.dynamicanimation.animation.FloatPropertyCompat
android.support.animation.FloatValueHolder,androidx.dynamicanimation.animation.FloatValueHolder
android.support.animation.Force,androidx.dynamicanimation.animation.Force
android.support.animation.SpringAnimation,androidx.dynamicanimation.animation.SpringAnimation
android.support.animation.SpringForce,androidx.dynamicanimation.animation.SpringForce
android.support.annotation.AnimatorRes,androidx.annotation.AnimatorRes
android.support.annotation.AnimRes,androidx.annotation.AnimRes
android.support.annotation.AnyRes,androidx.annotation.AnyRes
android.support.annotation.AnyThread,androidx.annotation.AnyThread
android.support.annotation.ArrayRes,androidx.annotation.ArrayRes
android.support.annotation.AttrRes,androidx.annotation.AttrRes
android.support.annotation.BinderThread,androidx.annotation.BinderThread
android.support.annotation.BoolRes,androidx.annotation.BoolRes
android.support.annotation.CallSuper,androidx.annotation.CallSuper
android.support.annotation.CheckResult,androidx.annotation.CheckResult
android.support.annotation.ColorInt,androidx.annotation.ColorInt
android.support.annotation.ColorLong,androidx.annotation.ColorLong
android.support.annotation.ColorRes,androidx.annotation.ColorRes
android.support.annotation.DimenRes,androidx.annotation.DimenRes
android.support.annotation.Dimension,androidx.annotation.Dimension
android.support.annotation.DrawableRes,androidx.annotation.DrawableRes
android.support.annotation.FloatRange,androidx.annotation.FloatRange
android.support.annotation.FontRes,androidx.annotation.FontRes
android.support.annotation.FractionRes,androidx.annotation.FractionRes
android.support.annotation.GuardedBy,androidx.annotation.GuardedBy
android.support.annotation.HalfFloat,androidx.annotation.HalfFloat
android.support.annotation.IdRes,androidx.annotation.IdRes
android.support.annotation.IntDef,androidx.annotation.IntDef
android.support.annotation.IntegerRes,androidx.annotation.IntegerRes
android.support.annotation.InterpolatorRes,androidx.annotation.InterpolatorRes
android.support.annotation.IntRange,androidx.annotation.IntRange
android.support.annotation.Keep,androidx.annotation.Keep
android.support.annotation.LayoutRes,androidx.annotation.LayoutRes
android.support.annotation.LongDef,androidx.annotation.LongDef
android.support.annotation.MainThread,androidx.annotation.MainThread
android.support.annotation.MenuRes,androidx.annotation.MenuRes
android.support.annotation.NavigationRes,androidx.annotation.NavigationRes
android.support.annotation.NonNull,androidx.annotation.NonNull
android.support.annotation.Nullable,androidx.annotation.Nullable
android.support.annotation.PluralsRes,androidx.annotation.PluralsRes
android.support.annotation.Px,androidx.annotation.Px
android.support.annotation.RawRes,androidx.annotation.RawRes
android.support.annotation.RequiresApi,androidx.annotation.RequiresApi
android.support.annotation.RequiresFeature,androidx.annotation.RequiresFeature
android.support.annotation.RequiresPermission,androidx.annotation.RequiresPermission
android.support.annotation.RestrictTo,androidx.annotation.RestrictTo
android.support.annotation.Size,androidx.annotation.Size
android.support.annotation.StringDef,androidx.annotation.StringDef
android.support.annotation.StringRes,androidx.annotation.StringRes
android.support.annotation.StyleableRes,androidx.annotation.StyleableRes
android.support.annotation.StyleRes,androidx.annotation.StyleRes
android.support.annotation.TransitionRes,androidx.annotation.TransitionRes
android.support.annotation.UiThread,androidx.annotation.UiThread
android.support.annotation.VisibleForTesting,androidx.annotation.VisibleForTesting
android.support.annotation.WorkerThread,androidx.annotation.WorkerThread
android.support.annotation.XmlRes,androidx.annotation.XmlRes
android.support.app.recommendation.ContentRecommendation,androidx.recommendation.app.ContentRecommendation
android.support.app.recommendation.RecommendationExtender,androidx.recommendation.app.RecommendationExtender
android.support.compat.R,androidx.core.R
