Support Library class,Android X class
android.support.v4.media.session.ParcelableVolumeInfo,android.support.v4.media.session.ParcelableVolumeInfo
android.support.v4.media.session.PlaybackStateCompat,android.support.v4.media.session.PlaybackStateCompat
android.support.v4.media.session.PlaybackStateCompatApi21,android.support.v4.media.session.PlaybackStateCompatApi21
android.support.v4.media.session.PlaybackStateCompatApi22,android.support.v4.media.session.PlaybackStateCompatApi22
android.support.v4.media.VolumeProviderCompat,androidx.media.VolumeProviderCompat
android.support.v4.media.VolumeProviderCompatApi21,androidx.media.VolumeProviderCompatApi21
android.support.v4.net.ConnectivityManagerCompat,androidx.core.net.ConnectivityManagerCompat
android.support.v4.net.DatagramSocketWrapper,androidx.core.net.DatagramSocketWrapper
android.support.v4.net.TrafficStatsCompat,androidx.core.net.TrafficStatsCompat
android.support.v4.os.BuildCompat,androidx.core.os.BuildCompat
android.support.v4.os.CancellationSignal,androidx.core.os.CancellationSignal
android.support.v4.os.ConfigurationCompat,androidx.core.os.ConfigurationCompat
android.support.v4.os.EnvironmentCompat,androidx.core.os.EnvironmentCompat
android.support.v4.os.HandlerCompat,androidx.core.os.HandlerCompat
android.support.v4.os.IResultReceiver,androidx.core.os.IResultReceiver
android.support.v4.os.LocaleHelper,androidx.core.os.LocaleHelper
android.support.v4.os.LocaleListCompat,androidx.core.os.LocaleListCompat
android.support.v4.os.LocaleListHelper,androidx.core.os.LocaleListHelper
android.support.v4.os.LocaleListInterface,androidx.core.os.LocaleListInterface
android.support.v4.os.OperationCanceledException,androidx.core.os.OperationCanceledException
android.support.v4.os.ParcelableCompat,androidx.core.os.ParcelableCompat
android.support.v4.os.ParcelableCompatCreatorCallbacks,androidx.core.os.ParcelableCompatCreatorCallbacks
android.support.v4.os.ParcelCompat,androidx.core.os.ParcelCompat
android.support.v4.os.ResultReceiver,androidx.core.os.ResultReceiver
android.support.v4.os.TraceCompat,androidx.core.os.TraceCompat
android.support.v4.os.UserManagerCompat,androidx.core.os.UserManagerCompat
android.support.v4.print.PrintHelper,androidx.print.PrintHelper
android.support.v4.provider.DocumentFile,androidx.documentfile.provider.DocumentFile
android.support.v4.provider.DocumentsContractApi19,androidx.documentfile.provider.DocumentsContractApi19
android.support.v4.provider.FontRequest,androidx.core.provider.FontRequest
android.support.v4.provider.FontsContractCompat,androidx.core.provider.FontsContractCompat
android.support.v4.provider.RawDocumentFile,androidx.documentfile.provider.RawDocumentFile
android.support.v4.provider.SelfDestructiveThread,androidx.core.provider.SelfDestructiveThread
android.support.v4.provider.SingleDocumentFile,androidx.documentfile.provider.SingleDocumentFile
android.support.v4.provider.TreeDocumentFile,androidx.documentfile.provider.TreeDocumentFile
android.support.v4.text.BidiFormatter,androidx.core.text.BidiFormatter
android.support.v4.text.HtmlCompat,androidx.core.text.HtmlCompat
android.support.v4.text.ICUCompat,androidx.core.text.ICUCompat
android.support.v4.text.PrecomputedTextCompat,androidx.core.text.PrecomputedTextCompat
android.support.v4.text.TextDirectionHeuristicCompat,androidx.core.text.TextDirectionHeuristicCompat
android.support.v4.text.TextDirectionHeuristicsCompat,androidx.core.text.TextDirectionHeuristicsCompat
android.support.v4.text.TextUtilsCompat,androidx.core.text.TextUtilsCompat
android.support.v4.text.util.FindAddress,androidx.core.text.util.FindAddress
android.support.v4.text.util.LinkifyCompat,androidx.core.text.util.LinkifyCompat
android.support.v4.util.ArrayMap,androidx.collection.ArrayMap
android.support.v4.util.ArraySet,androidx.collection.ArraySet
android.support.v4.util.AtomicFile,androidx.core.util.AtomicFile
android.support.v4.util.CircularArray,androidx.collection.CircularArray
android.support.v4.util.CircularIntArray,androidx.collection.CircularIntArray
android.support.v4.util.Consumer,androidx.core.util.Consumer
android.support.v4.util.ContainerHelpers,androidx.collection.ContainerHelpers
android.support.v4.util.DebugUtils,androidx.core.util.DebugUtils
android.support.v4.util.LogWriter,androidx.core.util.LogWriter
android.support.v4.util.LongSparseArray,androidx.collection.LongSparseArray
android.support.v4.util.LruCache,androidx.collection.LruCache
android.support.v4.util.MapCollections,androidx.collection.MapCollections
android.support.v4.util.ObjectsCompat,androidx.core.util.ObjectsCompat
android.support.v4.util.Pair,androidx.core.util.Pair
android.support.v4.util.PatternsCompat,androidx.core.util.PatternsCompat
android.support.v4.util.Pools,androidx.core.util.Pools
android.support.v4.util.Preconditions,androidx.core.util.Preconditions
android.support.v4.util.SimpleArrayMap,androidx.collection.SimpleArrayMap
android.support.v4.util.SparseArrayCompat,androidx.collection.SparseArrayCompat
android.support.v4.util.TimeUtils,androidx.core.util.TimeUtils
android.support.v4.view.AbsSavedState,androidx.customview.view.AbsSavedState
android.support.v4.view.accessibility.AccessibilityEventCompat,androidx.core.view.accessibility.AccessibilityEventCompat
android.support.v4.view.accessibility.AccessibilityManagerCompat,androidx.core.view.accessibility.AccessibilityManagerCompat
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat,androidx.core.view.accessibility.AccessibilityNodeInfoCompat
android.support.v4.view.accessibility.AccessibilityNodeProviderCompat,androidx.core.view.accessibility.AccessibilityNodeProviderCompat
android.support.v4.view.accessibility.AccessibilityRecordCompat,androidx.core.view.accessibility.AccessibilityRecordCompat
android.support.v4.view.accessibility.AccessibilityWindowInfoCompat,androidx.core.view.accessibility.AccessibilityWindowInfoCompat
android.support.v4.view.AccessibilityDelegateCompat,androidx.core.view.AccessibilityDelegateCompat
android.support.v4.view.ActionProvider,androidx.core.view.ActionProvider
android.support.v4.view.animation.FastOutLinearInInterpolator,androidx.interpolator.view.animation.FastOutLinearInInterpolator
android.support.v4.view.animation.FastOutSlowInInterpolator,androidx.interpolator.view.animation.FastOutSlowInInterpolator
android.support.v4.view.animation.LinearOutSlowInInterpolator,androidx.interpolator.view.animation.LinearOutSlowInInterpolator
android.support.v4.view.animation.LookupTableInterpolator,androidx.interpolator.view.animation.LookupTableInterpolator
android.support.v4.view.animation.PathInterpolatorApi14,androidx.core.view.animation.PathInterpolatorApi14
android.support.v4.view.animation.PathInterpolatorCompat,androidx.core.view.animation.PathInterpolatorCompat
android.support.v4.view.AsyncLayoutInflater,androidx.asynclayoutinflater.view.AsyncLayoutInflater
android.support.v4.view.DisplayCutoutCompat,androidx.core.view.DisplayCutoutCompat
android.support.v4.view.GestureDetectorCompat,androidx.core.view.GestureDetectorCompat
android.support.v4.view.GravityCompat,androidx.core.view.GravityCompat
android.support.v4.view.InputDeviceCompat,androidx.core.view.InputDeviceCompat
android.support.v4.view.KeyEventDispatcher,androidx.core.view.KeyEventDispatcher
android.support.v4.view.LayoutInflaterCompat,androidx.core.view.LayoutInflaterCompat
android.support.v4.view.LayoutInflaterFactory,androidx.core.view.LayoutInflaterFactory
android.support.v4.view.MarginLayoutParamsCompat,androidx.core.view.MarginLayoutParamsCompat
android.support.v4.view.MenuCompat,androidx.core.view.MenuCompat
android.support.v4.view.MenuItemCompat,androidx.core.view.MenuItemCompat
android.support.v4.view.MotionEventCompat,androidx.core.view.MotionEventCompat
android.support.v4.view.NestedScrollingChild,androidx.core.view.NestedScrollingChild
android.support.v4.view.NestedScrollingChild2,androidx.core.view.NestedScrollingChild2
android.support.v4.view.NestedScrollingChildHelper,androidx.core.view.NestedScrollingChildHelper
android.support.v4.view.NestedScrollingParent,androidx.core.view.NestedScrollingParent
android.support.v4.view.NestedScrollingParent2,androidx.core.view.NestedScrollingParent2
android.support.v4.view.NestedScrollingParentHelper,androidx.core.view.NestedScrollingParentHelper
android.support.v4.view.OnApplyWindowInsetsListener,androidx.core.view.OnApplyWindowInsetsListener
android.support.v4.view.PagerAdapter,androidx.viewpager.widget.PagerAdapter
android.support.v4.view.PagerTabStrip,androidx.viewpager.widget.PagerTabStrip
android.support.v4.view.PagerTitleStrip,androidx.viewpager.widget.PagerTitleStrip
android.support.v4.view.PointerIconCompat,androidx.core.view.PointerIconCompat
android.support.v4.view.ScaleGestureDetectorCompat,androidx.core.view.ScaleGestureDetectorCompat
android.support.v4.view.ScrollingView,androidx.core.view.ScrollingView
android.support.v4.view.TintableBackgroundView,androidx.core.view.TintableBackgroundView
android.support.v4.view.VelocityTrackerCompat,androidx.core.view.VelocityTrackerCompat
android.support.v4.view.ViewCompat,androidx.core.view.ViewCompat
android.support.v4.view.ViewConfigurationCompat,androidx.core.view.ViewConfigurationCompat
android.support.v4.view.ViewGroupCompat,androidx.core.view.ViewGroupCompat
android.support.v4.view.ViewPager,androidx.viewpager.widget.ViewPager
android.support.v4.view.ViewParentCompat,androidx.core.view.ViewParentCompat
android.support.v4.view.ViewPropertyAnimatorCompat,androidx.core.view.ViewPropertyAnimatorCompat
android.support.v4.view.ViewPropertyAnimatorListener,androidx.core.view.ViewPropertyAnimatorListener
android.support.v4.view.ViewPropertyAnimatorListenerAdapter,androidx.core.view.ViewPropertyAnimatorListenerAdapter
android.support.v4.view.ViewPropertyAnimatorUpdateListener,androidx.core.view.ViewPropertyAnimatorUpdateListener
android.support.v4.view.WindowCompat,androidx.core.view.WindowCompat
android.support.v4.view.WindowInsetsCompat,androidx.core.view.WindowInsetsCompat
android.support.v4.widget.AutoScrollHelper,androidx.core.widget.AutoScrollHelper
android.support.v4.widget.AutoSizeableTextView,androidx.core.widget.AutoSizeableTextView
android.support.v4.widget.CircleImageView,androidx.swiperefreshlayout.widget.CircleImageView
android.support.v4.widget.CircularProgressDrawable,androidx.swiperefreshlayout.widget.CircularProgressDrawable
android.support.v4.widget.CompoundButtonCompat,androidx.core.widget.CompoundButtonCompat
android.support.v4.widget.ContentLoadingProgressBar,androidx.core.widget.ContentLoadingProgressBar
android.support.v4.widget.CursorAdapter,androidx.cursoradapter.widget.CursorAdapter
android.support.v4.widget.CursorFilter,androidx.cursoradapter.widget.CursorFilter
android.support.v4.widget.DirectedAcyclicGraph,androidx.coordinatorlayout.widget.DirectedAcyclicGraph
android.support.v4.widget.DrawerLayout,androidx.drawerlayout.widget.DrawerLayout
android.support.v4.widget.EdgeEffectCompat,androidx.core.widget.EdgeEffectCompat
android.support.v4.widget.ExploreByTouchHelper,androidx.customview.widget.ExploreByTouchHelper
android.support.v4.widget.FocusStrategy,androidx.customview.widget.FocusStrategy
android.support.v4.widget.ImageViewCompat,androidx.core.widget.ImageViewCompat
android.support.v4.widget.ListPopupWindowCompat,androidx.core.widget.ListPopupWindowCompat
android.support.v4.widget.ListViewAutoScrollHelper,androidx.core.widget.ListViewAutoScrollHelper
android.support.v4.widget.ListViewCompat,androidx.core.widget.ListViewCompat
android.support.v4.widget.NestedScrollView,androidx.core.widget.NestedScrollView
android.support.v4.widget.PopupMenuCompat,androidx.core.widget.PopupMenuCompat
android.support.v4.widget.PopupWindowCompat,androidx.core.widget.PopupWindowCompat
android.support.v4.widget.ResourceCursorAdapter,androidx.cursoradapter.widget.ResourceCursorAdapter
android.support.v4.widget.ScrollerCompat,androidx.core.widget.ScrollerCompat
android.support.v4.widget.SimpleCursorAdapter,androidx.cursoradapter.widget.SimpleCursorAdapter
android.support.v4.widget.SlidingPaneLayout,androidx.slidingpanelayout.widget.SlidingPaneLayout
android.support.v4.widget.Space,androidx.legacy.widget.Space
android.support.v4.widget.SwipeRefreshLayout,androidx.swiperefreshlayout.widget.SwipeRefreshLayout
android.support.v4.widget.TextViewCompat,androidx.core.widget.TextViewCompat
android.support.v4.widget.TintableCompoundButton,androidx.core.widget.TintableCompoundButton
android.support.v4.widget.TintableImageSourceView,androidx.core.widget.TintableImageSourceView
android.support.v4.widget.ViewDragHelper,androidx.customview.widget.ViewDragHelper
android.support.v4.widget.ViewGroupUtils,androidx.coordinatorlayout.widget.ViewGroupUtils
android.support.v7.app.ActionBar,androidx.appcompat.app.ActionBar
android.support.v7.app.ActionBarDrawerToggle,androidx.appcompat.app.ActionBarDrawerToggle
android.support.v7.app.ActionBarDrawerToggleHoneycomb,androidx.appcompat.app.ActionBarDrawerToggleHoneycomb
android.support.v7.app.AlertController,androidx.appcompat.app.AlertController
android.support.v7.app.AlertDialog,androidx.appcompat.app.AlertDialog
android.support.v7.app.AppCompatActivity,androidx.appcompat.app.AppCompatActivity
android.support.v7.app.AppCompatCallback,androidx.appcompat.app.AppCompatCallback
android.support.v7.app.AppCompatDelegate,androidx.appcompat.app.AppCompatDelegate
android.support.v7.app.AppCompatDelegateImpl,androidx.appcompat.app.AppCompatDelegateImpl
android.support.v7.app.AppCompatDialog,androidx.appcompat.app.AppCompatDialog
android.support.v7.app.AppCompatDialogFragment,androidx.appcompat.app.AppCompatDialogFragment
android.support.v7.app.AppCompatViewInflater,androidx.appcompat.app.AppCompatViewInflater
android.support.v7.app.MediaRouteActionProvider,androidx.mediarouter.app.MediaRouteActionProvider
android.support.v7.app.MediaRouteButton,androidx.mediarouter.app.MediaRouteButton
android.support.v7.app.MediaRouteCastDialog,androidx.mediarouter.app.MediaRouteCastDialog
android.support.v7.app.MediaRouteChooserDialog,androidx.mediarouter.app.MediaRouteChooserDialog
android.support.v7.app.MediaRouteChooserDialogFragment,androidx.mediarouter.app.MediaRouteChooserDialogFragment
android.support.v7.app.MediaRouteControllerDialog,androidx.mediarouter.app.MediaRouteControllerDialog
android.support.v7.app.MediaRouteControllerDialogFragment,androidx.mediarouter.app.MediaRouteControllerDialogFragment
android.support.v7.app.MediaRouteDevicePickerDialog,androidx.mediarouter.app.MediaRouteDevicePickerDialog
android.support.v7.app.MediaRouteDialogFactory,androidx.mediarouter.app.MediaRouteDialogFactory
android.support.v7.app.MediaRouteDialogHelper,androidx.mediarouter.app.MediaRouteDialogHelper
android.support.v7.app.MediaRouteDiscoveryFragment,androidx.mediarouter.app.MediaRouteDiscoveryFragment
android.support.v7.app.MediaRouteExpandCollapseButton,androidx.mediarouter.app.MediaRouteExpandCollapseButton
android.support.v7.app.MediaRouterThemeHelper,androidx.mediarouter.app.MediaRouterThemeHelper
android.support.v7.app.MediaRouteVolumeSlider,androidx.mediarouter.app.MediaRouteVolumeSlider
android.support.v7.app.NavItemSelectedListener,androidx.appcompat.app.NavItemSelectedListener
android.support.v7.app.OverlayListView,androidx.mediarouter.app.OverlayListView
android.support.v7.app.ResourcesFlusher,androidx.appcompat.app.ResourcesFlusher
android.support.v7.app.ToolbarActionBar,androidx.appcompat.app.ToolbarActionBar
android.support.v7.app.TwilightCalculator,androidx.appcompat.app.TwilightCalculator
android.support.v7.app.TwilightManager,androidx.appcompat.app.TwilightManager
android.support.v7.app.WindowDecorActionBar,androidx.appcompat.app.WindowDecorActionBar
android.support.v7.appcompat.R,androidx.appcompat.R
android.support.v7.cardview.R,androidx.cardview.R
android.support.v7.content.res.AppCompatResources,androidx.appcompat.content.res.AppCompatResources
android.support.v7.graphics.ColorCutQuantizer,androidx.palette.graphics.ColorCutQuantizer
android.support.v7.graphics.drawable.AnimatedStateListDrawableCompat,androidx.appcompat.graphics.drawable.AnimatedStateListDrawableCompat
android.support.v7.graphics.drawable.DrawableContainer,androidx.appcompat.graphics.drawable.DrawableContainer
android.support.v7.graphics.drawable.DrawableWrapper,androidx.appcompat.graphics.drawable.DrawableWrapper
android.support.v7.graphics.drawable.DrawerArrowDrawable,androidx.appcompat.graphics.drawable.DrawerArrowDrawable
android.support.v7.graphics.drawable.StateListDrawable,androidx.appcompat.graphics.drawable.StateListDrawable
android.support.v7.graphics.Palette,androidx.palette.graphics.Palette
android.support.v7.graphics.Target,androidx.palette.graphics.Target
android.support.v7.gridlayout.R,androidx.gridlayout.R
android.support.v7.internal.widget.PreferenceImageView,androidx.preference.internal.PreferenceImageView
android.support.v7.media.MediaControlIntent,androidx.mediarouter.media.MediaControlIntent
android.support.v7.media.MediaItemMetadata,androidx.mediarouter.media.MediaItemMetadata
android.support.v7.media.MediaItemStatus,androidx.mediarouter.media.MediaItemStatus
android.support.v7.media.MediaRouteDescriptor,androidx.mediarouter.media.MediaRouteDescriptor
android.support.v7.media.MediaRouteDiscoveryRequest,androidx.mediarouter.media.MediaRouteDiscoveryRequest
android.support.v7.media.MediaRouteProvider,androidx.mediarouter.media.MediaRouteProvider
android.support.v7.media.MediaRouteProviderDescriptor,androidx.mediarouter.media.MediaRouteProviderDescriptor
android.support.v7.media.MediaRouteProviderProtocol,androidx.mediarouter.media.MediaRouteProviderProtocol
android.support.v7.media.MediaRouteProviderService,androidx.mediarouter.media.MediaRouteProviderService
android.support.v7.media.MediaRouter,androidx.mediarouter.media.MediaRouter
android.support.v7.media.MediaRouterApi24,androidx.mediarouter.media.MediaRouterApi24
android.support.v7.media.MediaRouterJellybean,androidx.mediarouter.media.MediaRouterJellybean
android.support.v7.media.MediaRouterJellybeanMr1,androidx.mediarouter.media.MediaRouterJellybeanMr1
android.support.v7.media.MediaRouterJellybeanMr2,androidx.mediarouter.media.MediaRouterJellybeanMr2
android.support.v7.media.MediaRouteSelector,androidx.mediarouter.media.MediaRouteSelector
android.support.v7.media.MediaSessionStatus,androidx.mediarouter.media.MediaSessionStatus
android.support.v7.media.RegisteredMediaRouteProvider,androidx.mediarouter.media.RegisteredMediaRouteProvider
android.support.v7.media.RegisteredMediaRouteProviderWatcher,androidx.mediarouter.media.RegisteredMediaRouteProviderWatcher
android.support.v7.media.RemoteControlClientCompat,androidx.mediarouter.media.RemoteControlClientCompat
android.support.v7.media.RemotePlaybackClient,androidx.mediarouter.media.RemotePlaybackClient
android.support.v7.media.RouteMediaPlayerConnector,androidx.mediarouter.media.RouteMediaPlayerConnector
android.support.v7.media.SystemMediaRouteProvider,androidx.mediarouter.media.SystemMediaRouteProvider
android.support.v7.mediarouter.R,androidx.mediarouter.R
android.support.v7.preference.AndroidResources,androidx.preference.AndroidResources
android.support.v7.preference.CheckBoxPreference,androidx.preference.CheckBoxPreference
android.support.v7.preference.CollapsiblePreferenceGroupController,androidx.preference.CollapsiblePreferenceGroupController
android.support.v7.preference.DialogPreference,androidx.preference.DialogPreference
android.support.v7.preference.DropDownPreference,androidx.preference.DropDownPreference
android.support.v7.preference.EditTextPreference,androidx.preference.EditTextPreference
android.support.v7.preference.EditTextPreferenceDialogFragmentCompat,androidx.preference.EditTextPreferenceDialogFragmentCompat
android.support.v7.preference.internal.AbstractMultiSelectListPreference,androidx.preference.internal.AbstractMultiSelectListPreference
android.support.v7.preference.ListPreference,androidx.preference.ListPreference
android.support.v7.preference.ListPreferenceDialogFragmentCompat,androidx.preference.ListPreferenceDialogFragmentCompat
android.support.v7.preference.MultiSelectListPreferenceDialogFragmentCompat,androidx.preference.MultiSelectListPreferenceDialogFragmentCompat
android.support.v7.preference.Preference,androidx.preference.Preference
android.support.v7.preference.PreferenceCategory,androidx.preference.PreferenceCategory
android.support.v7.preference.PreferenceDataStore,androidx.preference.PreferenceDataStore
android.support.v7.preference.PreferenceDialogFragmentCompat,androidx.preference.PreferenceDialogFragmentCompat
android.support.v7.preference.PreferenceFragmentCompat,androidx.preference.PreferenceFragmentCompat
android.support.v7.preference.PreferenceGroup,androidx.preference.PreferenceGroup
android.support.v7.preference.PreferenceGroupAdapter,androidx.preference.PreferenceGroupAdapter
android.support.v7.preference.PreferenceInflater,androidx.preference.PreferenceInflater
android.support.v7.preference.PreferenceManager,androidx.preference.PreferenceManager
android.support.v7.preference.PreferenceRecyclerViewAccessibilityDelegate,androidx.preference.PreferenceRecyclerViewAccessibilityDelegate
android.support.v7.preference.PreferenceScreen,androidx.preference.PreferenceScreen
android.support.v7.preference.PreferenceViewHolder,androidx.preference.PreferenceViewHolder
android.support.v7.preference.R,androidx.preference.R
android.support.v7.preference.SeekBarPreference,androidx.preference.SeekBarPreference
android.support.v7.preference.SwitchPreferenceCompat,androidx.preference.SwitchPreferenceCompat
android.support.v7.preference.TwoStatePreference,androidx.preference.TwoStatePreference
android.support.v7.preference.UnPressableLinearLayout,androidx.preference.UnPressableLinearLayout
android.support.v7.recyclerview.extensions.AsyncDifferConfig,androidx.recyclerview.widget.AsyncDifferConfig
android.support.v7.recyclerview.extensions.AsyncListDiffer,androidx.recyclerview.widget.AsyncListDiffer
android.support.v7.recyclerview.extensions.ListAdapter,androidx.recyclerview.widget.ListAdapter
android.support.v7.recyclerview.R,androidx.recyclerview.R
android.support.v7.text.AllCapsTransformationMethod,androidx.appcompat.text.AllCapsTransformationMethod
android.support.v7.util.AdapterListUpdateCallback,androidx.recyclerview.widget.AdapterListUpdateCallback
android.support.v7.util.AsyncListUtil,androidx.recyclerview.widget.AsyncListUtil
android.support.v7.util.BatchingListUpdateCallback,androidx.recyclerview.widget.BatchingListUpdateCallback
android.support.v7.util.DiffUtil,androidx.recyclerview.widget.DiffUtil
android.support.v7.util.ListUpdateCallback,androidx.recyclerview.widget.ListUpdateCallback
android.support.v7.util.MessageThreadUtil,androidx.recyclerview.widget.MessageThreadUtil
android.support.v7.util.SortedList,androidx.recyclerview.widget.SortedList
android.support.v7.util.ThreadUtil,androidx.recyclerview.widget.ThreadUtil
android.support.v7.util.TileList,androidx.recyclerview.widget.TileList
android.support.v7.view.ActionBarPolicy,androidx.appcompat.view.ActionBarPolicy
android.support.v7.view.ActionMode,androidx.appcompat.view.ActionMode
android.support.v7.view.CollapsibleActionView,androidx.appcompat.view.CollapsibleActionView
android.support.v7.view.ContextThemeWrapper,androidx.appcompat.view.ContextThemeWrapper
android.support.v7.view.menu.ActionMenuItem,androidx.appcompat.view.menu.ActionMenuItem
android.support.v7.view.menu.ActionMenuItemView,androidx.appcompat.view.menu.ActionMenuItemView
android.support.v7.view.menu.BaseMenuPresenter,androidx.appcompat.view.menu.BaseMenuPresenter
android.support.v7.view.menu.BaseMenuWrapper,androidx.appcompat.view.menu.BaseMenuWrapper
android.support.v7.view.menu.BaseWrapper,androidx.appcompat.view.menu.BaseWrapper
android.support.v7.view.menu.CascadingMenuPopup,androidx.appcompat.view.menu.CascadingMenuPopup
android.support.v7.view.menu.ExpandedMenuView,androidx.appcompat.view.menu.ExpandedMenuView
android.support.v7.view.menu.ListMenuItemView,androidx.appcompat.view.menu.ListMenuItemView
android.support.v7.view.menu.ListMenuPresenter,androidx.appcompat.view.menu.ListMenuPresenter
android.support.v7.view.menu.MenuAdapter,androidx.appcompat.view.menu.MenuAdapter
android.support.v7.view.menu.MenuBuilder,androidx.appcompat.view.menu.MenuBuilder
android.support.v7.view.menu.MenuDialogHelper,androidx.appcompat.view.menu.MenuDialogHelper
android.support.v7.view.menu.MenuHelper,androidx.appcompat.view.menu.MenuHelper
android.support.v7.view.menu.MenuItemImpl,androidx.appcompat.view.menu.MenuItemImpl
android.support.v7.view.menu.MenuItemWrapperICS,androidx.appcompat.view.menu.MenuItemWrapperICS
android.support.v7.view.menu.MenuItemWrapperJB,androidx.appcompat.view.menu.MenuItemWrapperJB
android.support.v7.view.menu.MenuPopup,androidx.appcompat.view.menu.MenuPopup
android.support.v7.view.menu.MenuPopupHelper,androidx.appcompat.view.menu.MenuPopupHelper
android.support.v7.view.menu.MenuPresenter,androidx.appcompat.view.menu.MenuPresenter
android.support.v7.view.menu.MenuView,androidx.appcompat.view.menu.MenuView
android.support.v7.view.menu.MenuWrapperFactory,androidx.appcompat.view.menu.MenuWrapperFactory
android.support.v7.view.menu.MenuWrapperICS,androidx.appcompat.view.menu.MenuWrapperICS
android.support.v7.view.menu.ShowableListMenu,androidx.appcompat.view.menu.ShowableListMenu
android.support.v7.view.menu.StandardMenuPopup,androidx.appcompat.view.menu.StandardMenuPopup
android.support.v7.view.menu.SubMenuBuilder,androidx.appcompat.view.menu.SubMenuBuilder
android.support.v7.view.menu.SubMenuWrapperICS,androidx.appcompat.view.menu.SubMenuWrapperICS
android.support.v7.view.StandaloneActionMode,androidx.appcompat.view.StandaloneActionMode
android.support.v7.view.SupportActionModeWrapper,androidx.appcompat.view.SupportActionModeWrapper
android.support.v7.view.SupportMenuInflater,androidx.appcompat.view.SupportMenuInflater
android.support.v7.view.ViewPropertyAnimatorCompatSet,androidx.appcompat.view.ViewPropertyAnimatorCompatSet
android.support.v7.view.WindowCallbackWrapper,androidx.appcompat.view.WindowCallbackWrapper
android.support.v7.widget.AbsActionBarView,androidx.appcompat.widget.AbsActionBarView
android.support.v7.widget.ActionBarBackgroundDrawable,androidx.appcompat.widget.ActionBarBackgroundDrawable
android.support.v7.widget.ActionBarContainer,androidx.appcompat.widget.ActionBarContainer
android.support.v7.widget.ActionBarContextView,androidx.appcompat.widget.ActionBarContextView
android.support.v7.widget.ActionBarOverlayLayout,androidx.appcompat.widget.ActionBarOverlayLayout
android.support.v7.widget.ActionMenuPresenter,androidx.appcompat.widget.ActionMenuPresenter
android.support.v7.widget.ActionMenuView,androidx.appcompat.widget.ActionMenuView
android.support.v7.widget.ActivityChooserModel,androidx.appcompat.widget.ActivityChooserModel
android.support.v7.widget.ActivityChooserView,androidx.appcompat.widget.ActivityChooserView
android.support.v7.widget.AdapterHelper,androidx.recyclerview.widget.AdapterHelper
android.support.v7.widget.AlertDialogLayout,androidx.appcompat.widget.AlertDialogLayout
android.support.v7.widget.AppCompatAutoCompleteTextView,androidx.appcompat.widget.AppCompatAutoCompleteTextView
android.support.v7.widget.AppCompatBackgroundHelper,androidx.appcompat.widget.AppCompatBackgroundHelper
android.support.v7.widget.AppCompatButton,androidx.appcompat.widget.AppCompatButton
android.support.v7.widget.AppCompatCheckBox,androidx.appcompat.widget.AppCompatCheckBox
android.support.v7.widget.AppCompatCheckedTextView,androidx.appcompat.widget.AppCompatCheckedTextView
android.support.v7.widget.AppCompatCompoundButtonHelper,androidx.appcompat.widget.AppCompatCompoundButtonHelper
android.support.v7.widget.AppCompatDrawableManager,androidx.appcompat.widget.AppCompatDrawableManager
android.support.v7.widget.AppCompatEditText,androidx.appcompat.widget.AppCompatEditText
android.support.v7.widget.AppCompatHintHelper,androidx.appcompat.widget.AppCompatHintHelper
android.support.v7.widget.AppCompatImageButton,androidx.appcompat.widget.AppCompatImageButton
android.support.v7.widget.AppCompatImageHelper,androidx.appcompat.widget.AppCompatImageHelper
android.support.v7.widget.AppCompatImageView,androidx.appcompat.widget.AppCompatImageView
android.support.v7.widget.AppCompatMultiAutoCompleteTextView,androidx.appcompat.widget.AppCompatMultiAutoCompleteTextView
android.support.v7.widget.AppCompatPopupWindow,androidx.appcompat.widget.AppCompatPopupWindow
android.support.v7.widget.AppCompatProgressBarHelper,androidx.appcompat.widget.AppCompatProgressBarHelper
android.support.v7.widget.AppCompatRadioButton,androidx.appcompat.widget.AppCompatRadioButton
android.support.v7.widget.AppCompatRatingBar,androidx.appcompat.widget.AppCompatRatingBar
android.support.v7.widget.AppCompatSeekBar,androidx.appcompat.widget.AppCompatSeekBar
android.support.v7.widget.AppCompatSeekBarHelper,androidx.appcompat.widget.AppCompatSeekBarHelper
android.support.v7.widget.AppCompatSpinner,androidx.appcompat.widget.AppCompatSpinner
android.support.v7.widget.AppCompatTextHelper,androidx.appcompat.widget.AppCompatTextHelper
android.support.v7.widget.AppCompatTextView,androidx.appcompat.widget.AppCompatTextView
android.support.v7.widget.AppCompatTextViewAutoSizeHelper,androidx.appcompat.widget.AppCompatTextViewAutoSizeHelper
android.support.v7.widget.ButtonBarLayout,androidx.appcompat.widget.ButtonBarLayout
android.support.v7.widget.CardView,androidx.cardview.widget.CardView
android.support.v7.widget.CardViewApi17Impl,androidx.cardview.widget.CardViewApi17Impl
android.support.v7.widget.CardViewApi21Impl,androidx.cardview.widget.CardViewApi21Impl
android.support.v7.widget.CardViewBaseImpl,androidx.cardview.widget.CardViewBaseImpl
android.support.v7.widget.CardViewDelegate,androidx.cardview.widget.CardViewDelegate
android.support.v7.widget.CardViewImpl,androidx.cardview.widget.CardViewImpl
android.support.v7.widget.ChildHelper,androidx.recyclerview.widget.ChildHelper
android.support.v7.widget.ContentFrameLayout,androidx.appcompat.widget.ContentFrameLayout
android.support.v7.widget.DecorContentParent,androidx.appcompat.widget.DecorContentParent
